STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,SECTOR,,STANDARD_REVENUE,,CTRY_SPECIFIC_REVENUE,,UNIT_MEASURE,,FREQ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,REVENUE_CODE,,DECIMALS,,CURRENCY,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,1997,,1.49,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,1998,,1.605,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,1999,,1.391,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2000,,1.49,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2001,,1.36,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2002,,1.311,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2003,,1.281,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2004,,1.613,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2005,,1.448,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2006,,1.469,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2007,,1.49,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2008,,1.632,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2009,,1.689,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2010,,1.656,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2011,,1.594,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2012,,1.593,,A,,0,,2200,,1,,_Z,
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(1.1),,I,SLV,,TAX_REV,,S13,,T_2200,,_T,,PT_B1GQ,,A,,2013,,1.613,,A,,0,,2200,,1,,_Z,
