year,avg_ui,maxlimit_inss,exempt_dirpf
1990,1.75,45288,27385
1991,1.83,,
1992,1.69,4780863,3135620
1993,1.41,86415,56480
1994,1.55,,
1995,1.54,833,756
1996,1.56,958,900
1997,1.57,1032,900
1998,1.56,1081,900
1999,1.55,1255,900
2000,1.51,,900
2001,1.48,1430,900
2002,1.42,1562,1058
2003,1.38,1869,1058
2004,1.39,2509,1058
2005,1.36,2668,1164
2006,1.31,2802,1249
2007,1.29,2894,1314
2008,1.28,3039,1373
2009,1.28,3219,1435
2010,1.26,,
2011,1.29,3692,1567
2012,1.28,3916,1637
2013,1.28,4159,1711
2014,1.30,4390,1788
2015,1.30,4664,1904
2016,1.29,5190,1904
2017,1.28,5531,1904
2018,1.28,5645,1904
2019,1.28,5839,1904
2020,1.28,6101,1904
2021,1.28,6433,1904
2022,1.28,7087,1904
2023,1.28,7507,2112
2024,1.28,7786,2259
2025,1.28,8157,2259
