"country","year","variable","value_type","downstream_use","value_old","value_new","ratio_new_old","pct_diff","abs_pct_diff","status","change_magnitude","extract_status_old","extract_status_new","source_file_old","source_file_new","sheet_old","sheet_new","cell_range_old","cell_range_new","excel_row_old","excel_row_new","excel_col_old","excel_col_new","role_old","role_new","matched_code_old","matched_code_new","code_long_old","code_long_new"
"CHL",2003,"B2g_cei","primitive","snacompare",9647.13421639373,9647.1342164065,1.00000000000132,1.32382993456304e-10,1.32382993456304e-10,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",27,27,"N","N","households_r","households_r","B.2B/B.3B","B.2B/B.3B","Excedente de explotación bruto /Ingreso Mixto bruto","Excedente de explotación bruto /Ingreso Mixto bruto"
"CHL",2003,"B3g_cei","primitive","snacompare",,,,,,"not_compared","not_applicable","non_numeric","non_numeric","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,"households_r","households_r",,,,
"CHL",2003,"B5g_cei","primitive","snacompare",35676.659258778,35672.1279389092,0.999872989232654,-0.0127010767346225,0.0127010767346225,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",40,40,"N","N","households_r","households_r","B.5","B.5","Saldo de ingresos primarios","Saldo de ingresos primarios"
"CHL",2003,"D1_cei","primitive","snacompare",20737.8124685683,20737.8124685678,0.999999999999978,-2.24265050974282e-12,2.24265050974282e-12,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",29,29,"N","N","households_r","households_r","D.1","D.1","Remuneración de asalariados","Remuneración de asalariados"
"CHL",2003,"D11_cei","primitive","current_extractor",,,,,,"not_compared","not_applicable","no_code_match","no_code_match","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,"households_r","households_r",,,,
"CHL",2003,"D4_cei","primitive","snacompare;cei_ratio_figures",6334.06181894634,6329.53049913605,0.999284610737973,-0.071538926202741,0.071538926202741,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",31,31,"N","N","households_r","households_r","D.4","D.4","Renta de la propiedad","Renta de la propiedad"
"CHL",2003,"D43_cei","primitive","cei_ratio_figures",,,,,,"not_compared","not_applicable","non_numeric","non_numeric","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,"households_u","households_u",,,,
"CHL",2003,"D44_cei","primitive","cei_ratio_figures",1460.76760615525,1460.76760615525,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",35,35,"N","N","households_r","households_r","D.44","D.44","Renta de la propiedad atribuida a los titulares de pólizas de seguros","Renta de la propiedad atribuida a los titulares de pólizas de seguros"
"CHL",2003,"D5_cei","primitive","snacompare",941.642,941.641999998,0.999999999997876,-2.12396766841039e-10,2.12396766841039e-10,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",41,41,"E","E","households_u","households_u","D.5","D.5","Impuestos sobre la  renta","Impuestos sobre la  renta"
"CHL",2003,"D61_cei","primitive","snacompare",3959.45314660305,3959.45314670305,1.00000000002526,2.52560194979878e-09,2.52560194979878e-09,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",42,42,"E","E","households_u","households_u","D.61","D.61","Contribuciones sociales","Contribuciones sociales"
