"country","variable","value_type","downstream_use","values_compared","changed_values","anecdotal_changes","substantive_changes","changed_share_pct","substantive_share_pct","median_new_old","median_pct_diff","p10_pct_diff","p90_pct_diff","max_abs_pct_diff"
"CHL","B2g_cei","primitive","snacompare",21,21,21,0,100,0,1,0,0,0,0.313
"CHL","B3g_cei","primitive","snacompare",0,0,0,0,,,,,,,
"CHL","B5g_cei","primitive","snacompare",21,21,21,0,100,0,0.999998,0,-0.042,0.039,0.991
"CHL","D1_cei","primitive","snacompare",21,3,2,1,14.3,4.8,0.998786,-0.121,-0.936,-0.048,1.14
"CHL","D11_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"CHL","D4_cei","primitive","snacompare;cei_ratio_figures",21,21,19,2,100,9.5,0.999988,-0.001,-0.183,0.144,4.704
"CHL","D43_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"CHL","D44_cei","primitive","cei_ratio_figures",21,1,1,0,4.8,0,1.006788,0.679,0.679,0.679,0.679
"CHL","D5_cei","primitive","snacompare",21,16,16,0,76.2,0,1,0,0,0,0.16
"CHL","D61_cei","primitive","snacompare",21,13,13,0,61.9,0,1,0,0,0,0.209
"CHL","D62_cei","primitive","snacompare",21,11,11,0,52.4,0,1,0,0,0,0.004
"CHL","D7_cei","primitive","cei_ratio_figures",21,16,13,3,76.2,14.3,1,0,0,2.045,10.811
"CHL","D75_cei","primitive","cei_ratio_figures",21,16,13,3,76.2,14.3,1,0,0,2.332,16.456
"CHL","D752_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"CHL","FC_B5g_cei","primitive","snacompare;uprofits",21,21,18,3,100,14.3,1,0,-0.03,0.802,19.348
"CHL","FC_r_D4_cei","primitive","uprofits",21,21,20,1,100,4.8,1,0,0,0,11.059
"CHL","FC_r_D41_cei","primitive","current_extractor",21,21,20,1,100,4.8,1.000002,0,-0.002,0.005,2.518
"CHL","FC_r_D42_cei","primitive","current_extractor",21,9,8,1,42.9,4.8,1,0,-8.627,0,39.642
"CHL","FC_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"CHL","FC_r_D44_cei","primitive","current_extractor",21,21,20,1,100,4.8,0.999984,-0.002,-0.122,0.017,10.142
"CHL","GG_B5g_cei","primitive","snacompare",21,21,21,0,100,0,1,0,0,0.008,0.925
"CHL","GG_r_D4_cei","primitive","uprofits",21,20,20,0,95.2,0,1,0,0,0.052,0.401
"CHL","GG_r_D41_cei","primitive","current_extractor",21,18,18,0,85.7,0,1,0,0,0.27,0.622
"CHL","GG_r_D42_cei","primitive","current_extractor",21,10,10,0,47.6,0,1,0,0,0.082,0.817
"CHL","GG_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"CHL","GG_r_D44_cei","primitive","current_extractor",21,16,16,0,76.2,0,1,0,-0.157,0.006,0.628
"CHL","NFC_B5g_cei","primitive","snacompare;uprofits",21,21,19,2,100,9.5,1.000009,0.001,-0.205,0.111,2.226
"CHL","NFC_r_D4_cei","primitive","uprofits",21,21,21,0,100,0,0.999964,-0.004,-0.012,0.012,0.178
"CHL","NFC_r_D41_cei","primitive","current_extractor",21,21,20,1,100,4.8,0.999926,-0.007,-0.017,0.01,2.789
"CHL","NFC_r_D42_cei","primitive","current_extractor",21,2,2,0,9.5,0,1.000005,0.001,0,0.001,0.002
"CHL","NFC_r_D43_cei","primitive","current_extractor",21,2,1,1,9.5,4.8,0.884164,-11.584,-20.483,-2.684,22.708
"CHL","NFC_r_D44_cei","primitive","current_extractor",21,21,18,3,100,14.3,1.000177,0.018,-0.075,1.326,55.479
"CHL","ratio_d43_d4","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"CHL","ratio_d43d44","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"CHL","ratio_d44_b5g","derived_ratio","cei_ratio_figures",21,21,21,0,100,0,1.000002,0,-0.039,0.042,0.875
"CHL","ratio_d44_d4","derived_ratio","cei_ratio_figures",21,21,19,2,100,9.5,1.000012,0.001,-0.144,0.183,3.844
"CHL","ratio_d75_b5g","derived_ratio","cei_ratio_figures",21,21,18,3,100,14.3,1.000028,0.003,-0.039,0.134,17.276
"CHL","ratio_d75_d7","derived_ratio","cei_ratio_figures",21,4,2,2,19,9.5,1.002764,0.276,-4.419,3.652,6.329
"CHL","ROW_r_D4_cei","primitive","uprofits",21,2,0,2,9.5,9.5,0.999594,-0.041,-1.412,1.33,1.754
"CHL","ROW_r_D41_cei","primitive","current_extractor",21,2,2,0,9.5,0,0.99185,-0.815,-0.896,-0.734,0.916
"CHL","ROW_r_D42_cei","primitive","current_extractor",21,2,1,1,9.5,4.8,1.015494,1.549,0.054,3.045,3.418
"CHL","ROW_r_D43_cei","primitive","current_extractor",21,2,0,2,9.5,9.5,0.982545,-1.746,-4.299,0.808,4.938
"CHL","ROW_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"CHL","TOT_B5g_cei","primitive","snacompare;uprofits",21,15,15,0,71.4,0,1,0,-0.002,0.019,0.465
"CHL","TOT_r_D4_cei","primitive","uprofits",21,21,19,2,100,9.5,0.999957,-0.004,-0.147,0.038,3.11
"CHL","TOT_r_D41_cei","primitive","current_extractor",21,21,19,2,100,9.5,0.999982,-0.002,-0.004,0.003,1.465
"CHL","TOT_r_D42_cei","primitive","current_extractor",21,21,19,2,100,9.5,0.999991,-0.001,-0.118,0.125,4.861
"CHL","TOT_r_D43_cei","primitive","current_extractor",21,2,1,1,9.5,4.8,0.9591,-4.09,-7.817,-0.363,8.749
"CHL","TOT_r_D44_cei","primitive","current_extractor",21,21,21,0,100,0,1,0,0,0,0.409
"COL","B2g_cei","primitive","snacompare",10,0,0,0,0,0,,,,,
"COL","B3g_cei","primitive","snacompare",10,1,1,0,10,0,1.001021,0.102,0.102,0.102,0.102
"COL","B5g_cei","primitive","snacompare",10,3,1,2,30,20,0.974723,-2.528,-2.554,-1.214,2.561
"COL","D1_cei","primitive","snacompare",10,1,1,0,10,0,0.99822,-0.178,-0.178,-0.178,0.178
"COL","D11_cei","primitive","current_extractor",10,1,1,0,10,0,0.997862,-0.214,-0.214,-0.214,0.214
"COL","D4_cei","primitive","snacompare;cei_ratio_figures",10,3,0,3,30,30,0.891652,-10.835,-11.278,-6.415,11.389
"COL","D43_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"COL","D44_cei","primitive","cei_ratio_figures",10,0,0,0,0,0,,,,,
"COL","D5_cei","primitive","snacompare",10,1,0,1,10,10,0.95588,-4.412,-4.412,-4.412,4.412
"COL","D61_cei","primitive","snacompare",10,0,0,0,0,0,,,,,
"COL","D62_cei","primitive","snacompare",10,3,0,3,30,30,0.987014,-1.299,-1.387,-1.268,1.409
"COL","D7_cei","primitive","cei_ratio_figures",10,3,0,3,30,30,1.132679,13.268,7.354,15.076,15.528
"COL","D75_cei","primitive","cei_ratio_figures",10,3,0,3,30,30,1.269004,26.9,14.846,31.725,32.932
"COL","D752_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","FC_B5g_cei","primitive","snacompare;uprofits",10,1,0,1,10,10,-10.752632,-1175.263,-1175.263,-1175.263,1175.263
"COL","FC_r_D4_cei","primitive","uprofits",10,1,1,0,10,0,0.996541,-0.346,-0.346,-0.346,0.346
"COL","FC_r_D41_cei","primitive","current_extractor",10,1,1,0,10,0,0.995824,-0.418,-0.418,-0.418,0.418
"COL","FC_r_D42_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","FC_r_D43_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","FC_r_D44_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","GG_B5g_cei","primitive","snacompare",10,1,1,0,10,0,0.999995,0,0,0,0
"COL","GG_r_D4_cei","primitive","uprofits",10,1,1,0,10,0,0.999974,-0.003,-0.003,-0.003,0.003
"COL","GG_r_D41_cei","primitive","current_extractor",10,1,1,0,10,0,0.999929,-0.007,-0.007,-0.007,0.007
"COL","GG_r_D42_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","GG_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"COL","GG_r_D44_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","NFC_B5g_cei","primitive","snacompare;uprofits",10,3,0,3,30,30,1.136547,13.655,5.469,17.746,18.769
"COL","NFC_r_D4_cei","primitive","uprofits",10,10,0,10,100,100,1.183898,18.39,8.505,28.621,33.019
"COL","NFC_r_D41_cei","primitive","current_extractor",10,1,1,0,10,0,0.998548,-0.145,-0.145,-0.145,0.145
"COL","NFC_r_D42_cei","primitive","current_extractor",10,10,0,10,100,100,1.744924,74.492,34.823,117.172,175.326
"COL","NFC_r_D43_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","NFC_r_D44_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","ratio_d43_d4","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"COL","ratio_d43d44","derived_ratio","cei_ratio_figures",10,3,0,3,30,30,1.121513,12.151,6.916,12.712,12.853
"COL","ratio_d44_b5g","derived_ratio","cei_ratio_figures",10,3,1,2,30,20,1.025933,2.593,1.234,2.621,2.629
"COL","ratio_d44_d4","derived_ratio","cei_ratio_figures",10,3,0,3,30,30,1.121513,12.151,6.916,12.712,12.853
"COL","ratio_d75_b5g","derived_ratio","cei_ratio_figures",10,3,0,3,30,30,1.301913,30.191,16.304,35.179,36.426
"COL","ratio_d75_d7","derived_ratio","cei_ratio_figures",10,3,0,3,30,30,1.120357,12.036,6.907,14.459,15.064
"COL","ROW_r_D4_cei","primitive","uprofits",10,0,0,0,0,0,,,,,
"COL","ROW_r_D41_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","ROW_r_D42_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","ROW_r_D43_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","ROW_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"COL","TOT_B5g_cei","primitive","snacompare;uprofits",10,1,1,0,10,0,1.005773,0.577,0.577,0.577,0.577
"COL","TOT_r_D4_cei","primitive","uprofits",10,10,3,7,100,70,1.00932,0.932,-4.097,1.967,4.214
"COL","TOT_r_D41_cei","primitive","current_extractor",10,1,1,0,10,0,0.99989,-0.011,-0.011,-0.011,0.011
"COL","TOT_r_D42_cei","primitive","current_extractor",10,10,1,9,100,90,1.020019,2.002,-8.468,4.096,10.559
"COL","TOT_r_D43_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"COL","TOT_r_D44_cei","primitive","current_extractor",10,0,0,0,0,0,,,,,
"CRI","B2g_cei","primitive","snacompare",5,0,0,0,0,0,,,,,
"CRI","B3g_cei","primitive","snacompare",5,0,0,0,0,0,,,,,
"CRI","B5g_cei","primitive","snacompare",0,0,0,0,,,,,,,
"CRI","D1_cei","primitive","snacompare",4,0,0,0,0,0,,,,,
"CRI","D11_cei","primitive","current_extractor",4,0,0,0,0,0,,,,,
"CRI","D4_cei","primitive","snacompare;cei_ratio_figures",5,0,0,0,0,0,,,,,
"CRI","D43_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"CRI","D44_cei","primitive","cei_ratio_figures",5,0,0,0,0,0,,,,,
"CRI","D5_cei","primitive","snacompare",5,0,0,0,0,0,,,,,
"CRI","D61_cei","primitive","snacompare",5,1,1,0,20,0,1.005304,0.53,0.53,0.53,0.53
"CRI","D62_cei","primitive","snacompare",4,0,0,0,0,0,,,,,
"CRI","D7_cei","primitive","cei_ratio_figures",5,0,0,0,0,0,,,,,
"CRI","D75_cei","primitive","cei_ratio_figures",5,0,0,0,0,0,,,,,
"CRI","D752_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"CRI","FC_B5g_cei","primitive","snacompare;uprofits",5,1,0,1,20,20,1.095362,9.536,9.536,9.536,9.536
"CRI","FC_r_D4_cei","primitive","uprofits",5,1,0,1,20,20,0.989305,-1.07,-1.07,-1.07,1.07
"CRI","FC_r_D41_cei","primitive","current_extractor",5,1,0,1,20,20,0.989088,-1.091,-1.091,-1.091,1.091
"CRI","FC_r_D42_cei","primitive","current_extractor",5,1,1,0,20,0,0.996151,-0.385,-0.385,-0.385,0.385
"CRI","FC_r_D43_cei","primitive","current_extractor",3,0,0,0,0,0,,,,,
"CRI","FC_r_D44_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","GG_B5g_cei","primitive","snacompare",5,1,1,0,20,0,0.999196,-0.08,-0.08,-0.08,0.08
"CRI","GG_r_D4_cei","primitive","uprofits",5,1,1,0,20,0,1.004826,0.483,0.483,0.483,0.483
"CRI","GG_r_D41_cei","primitive","current_extractor",5,1,1,0,20,0,1.004974,0.497,0.497,0.497,0.497
"CRI","GG_r_D42_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","GG_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"CRI","GG_r_D44_cei","primitive","current_extractor",5,1,1,0,20,0,1.002646,0.265,0.265,0.265,0.265
"CRI","NFC_B5g_cei","primitive","snacompare;uprofits",5,1,0,1,20,20,0.977193,-2.281,-2.281,-2.281,2.281
"CRI","NFC_r_D4_cei","primitive","uprofits",5,1,0,1,20,20,0.975958,-2.404,-2.404,-2.404,2.404
"CRI","NFC_r_D41_cei","primitive","current_extractor",5,1,0,1,20,20,0.963352,-3.665,-3.665,-3.665,3.665
"CRI","NFC_r_D42_cei","primitive","current_extractor",5,1,1,0,20,0,0.997076,-0.292,-0.292,-0.292,0.292
"CRI","NFC_r_D43_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","NFC_r_D44_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","ratio_d43_d4","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"CRI","ratio_d43d44","derived_ratio","cei_ratio_figures",5,0,0,0,0,0,,,,,
"CRI","ratio_d44_b5g","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"CRI","ratio_d44_d4","derived_ratio","cei_ratio_figures",5,0,0,0,0,0,,,,,
"CRI","ratio_d75_b5g","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"CRI","ratio_d75_d7","derived_ratio","cei_ratio_figures",5,0,0,0,0,0,,,,,
"CRI","ROW_r_D4_cei","primitive","uprofits",5,1,1,0,20,0,1.00079,0.079,0.079,0.079,0.079
"CRI","ROW_r_D41_cei","primitive","current_extractor",5,1,1,0,20,0,1.00302,0.302,0.302,0.302,0.302
"CRI","ROW_r_D42_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","ROW_r_D43_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","ROW_r_D44_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","TOT_B5g_cei","primitive","snacompare;uprofits",0,0,0,0,,,,,,,
"CRI","TOT_r_D4_cei","primitive","uprofits",5,1,1,0,20,0,0.998507,-0.149,-0.149,-0.149,0.149
"CRI","TOT_r_D41_cei","primitive","current_extractor",5,1,1,0,20,0,0.99107,-0.893,-0.893,-0.893,0.893
"CRI","TOT_r_D42_cei","primitive","current_extractor",5,1,1,0,20,0,0.999255,-0.075,-0.075,-0.075,0.075
"CRI","TOT_r_D43_cei","primitive","current_extractor",5,0,0,0,0,0,,,,,
"CRI","TOT_r_D44_cei","primitive","current_extractor",5,1,0,1,20,20,1.051579,5.158,5.158,5.158,5.158
"MEX","B2g_cei","primitive","snacompare",21,1,1,0,4.8,0,1.001532,0.153,0.153,0.153,0.153
"MEX","B3g_cei","primitive","snacompare",21,2,1,1,9.5,4.8,1.003322,0.332,-0.331,0.995,1.161
"MEX","B5g_cei","primitive","snacompare",21,2,2,0,9.5,0,1.002108,0.211,-0.011,0.433,0.488
"MEX","D1_cei","primitive","snacompare",21,2,2,0,9.5,0,1.001841,0.184,0.133,0.235,0.248
"MEX","D11_cei","primitive","current_extractor",21,2,2,0,9.5,0,1.001421,0.142,0.012,0.272,0.304
"MEX","D4_cei","primitive","snacompare;cei_ratio_figures",21,2,2,0,9.5,0,1.001257,0.126,-0.043,0.294,0.336
"MEX","D43_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"MEX","D44_cei","primitive","cei_ratio_figures",21,2,2,0,9.5,0,1.000877,0.088,0.019,0.156,0.173
"MEX","D5_cei","primitive","snacompare",21,2,2,0,9.5,0,1.000113,0.011,0.011,0.012,0.012
"MEX","D61_cei","primitive","snacompare",21,2,1,1,9.5,4.8,1.004953,0.495,0.081,0.91,1.013
"MEX","D62_cei","primitive","snacompare",21,2,1,1,9.5,4.8,1.010085,1.008,0.959,1.058,1.07
"MEX","D7_cei","primitive","cei_ratio_figures",21,2,1,1,9.5,4.8,0.985026,-1.497,-2.349,-0.646,2.561
"MEX","D75_cei","primitive","cei_ratio_figures",21,2,1,1,9.5,4.8,0.983534,-1.647,-2.6,-0.694,2.838
"MEX","D752_cei","primitive","current_extractor",21,1,1,0,4.8,0,1.006106,0.611,0.611,0.611,0.611
"MEX","FC_B5g_cei","primitive","snacompare;uprofits",21,2,1,1,9.5,4.8,1.196998,19.7,3.844,35.555,39.519
"MEX","FC_r_D4_cei","primitive","uprofits",21,2,1,1,9.5,4.8,1.220723,22.072,4.4,39.745,44.163
"MEX","FC_r_D41_cei","primitive","current_extractor",21,1,0,1,4.8,4.8,1.452346,45.235,45.235,45.235,45.235
"MEX","FC_r_D42_cei","primitive","current_extractor",21,0,0,0,0,0,,,,,
"MEX","FC_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
