"country","year","values_compared","changed_values","anecdotal_changes","substantive_changes","changed_share_pct","substantive_share_pct","median_new_old","median_pct_diff","p10_pct_diff","p90_pct_diff","max_abs_pct_diff"
"CHL",2003,40,25,24,1,62.5,2.5,1,0,-0.019,0.048,1.24
"CHL",2004,40,21,20,1,52.5,2.5,1,0,-0.001,0.001,1.552
"CHL",2005,40,24,23,1,60,2.5,1,0,-0.015,0.015,1.326
"CHL",2006,40,26,26,0,65,0,1,0,-0.012,0.011,0.93
"CHL",2007,40,24,24,0,60,0,1,0,-0.011,0.005,0.032
"CHL",2008,40,24,24,0,60,0,1,0,-0.026,0.027,0.163
"CHL",2009,40,28,28,0,70,0,1,0,-0.023,0.031,0.145
"CHL",2010,40,24,24,0,60,0,1,0,-0.055,0.042,0.183
"CHL",2011,40,27,27,0,67.5,0,1,0,-0.051,0.057,0.205
"CHL",2012,40,26,26,0,65,0,1,0,-0.022,0.018,0.077
"CHL",2013,40,25,25,0,62.5,0,1,0,-0.012,0.003,0.03
"CHL",2014,40,27,27,0,67.5,0,1,0,-0.033,0.032,0.141
"CHL",2015,40,27,27,0,67.5,0,1,0,-0.047,0.047,0.157
"CHL",2016,40,27,27,0,67.5,0,1,0,-0.039,0.017,0.124
"CHL",2017,40,29,29,0,72.5,0,1,0,-0.03,0.038,0.533
"CHL",2018,40,28,28,0,70,0,0.999999,0,-0.025,0.025,0.095
"CHL",2019,40,28,28,0,70,0,1,0,-0.021,0.06,0.541
"CHL",2020,40,30,30,0,75,0,1.000005,0.001,-0.013,0.107,0.145
"CHL",2021,40,32,24,8,80,20,1,0,-0.75,3.471,5.323
"CHL",2022,40,39,28,11,97.5,27.5,1.000015,0.002,-0.882,4.344,15.144
"CHL",2023,40,40,20,20,100,50,0.996855,-0.315,-16.538,0.762,55.479
"COL",2014,45,4,1,3,8.9,6.7,1.057465,5.746,0.884,30.096,38.647
"COL",2015,45,4,0,4,8.9,8.9,1.159777,15.978,2.559,85.888,110.711
"COL",2016,45,4,0,4,8.9,8.9,1.166084,16.608,3.024,82.504,105.807
"COL",2017,45,4,2,2,8.9,4.4,1.034144,3.414,0.594,16.25,20.698
"COL",2018,45,4,0,4,8.9,8.9,1.102809,10.281,1.622,55.684,71.874
"COL",2019,45,4,0,4,8.9,8.9,1.106594,10.659,1.768,47.713,60.256
"COL",2020,45,4,0,4,8.9,8.9,1.117699,11.77,2.391,59.85,77.111
"COL",2021,45,15,3,12,33.3,26.7,1.056074,5.607,-1.292,24.944,175.326
"COL",2022,45,15,0,15,33.3,33.3,1.128526,12.853,-6.575,35.028,80.06
"COL",2023,45,28,11,17,62.2,37.8,0.999951,-0.005,-6.256,21.208,1175.263
"CRI",2012,0,0,0,0,,,,,,,
"CRI",2013,0,0,0,0,,,,,,,
"CRI",2014,0,0,0,0,,,,,,,
"CRI",2015,0,0,0,0,,,,,,,
"CRI",2016,0,0,0,0,,,,,,,
"CRI",2017,38,19,12,7,50,18.4,0.999196,-0.08,-2.305,1.456,9.536
