country,year,step,unit,variable,group,value
ARG,2000,pon,pch,edu_sh,b50,.1905648708343506
ARG,2000,pon,pch,edu_sh,m40,.0435655601322651
ARG,2000,pon,pch,edu_sh,t1,.0034432911779732
ARG,2000,pon,pch,edu_sh,t10,.0089887781068683
ARG,2000,pon,pch,edu_sh,tot,.0445694699883461
ARG,2000,pon,pch,hea_sh,b50,.2048149704933167
ARG,2000,pon,pch,hea_sh,m40,.0401294976472855
ARG,2000,pon,pch,hea_sh,t1,.002043021377176
ARG,2000,pon,pch,hea_sh,t10,.0066170589998364
ARG,2000,pon,pch,hea_sh,tot,.0437737703323364
ARG,2000,pon,pch,mbe_sh,b50,.0314025804400444
ARG,2000,pon,pch,mbe_sh,m40,.0201579928398132
ARG,2000,pon,pch,mbe_sh,t1,.0072748409584165
ARG,2000,pon,pch,mbe_sh,t10,.0074933608993888
ARG,2000,pon,pch,mbe_sh,tot,.0154025964438915
ARG,2000,pon,pch,oex_sh,b50,.0786777213215828
ARG,2000,pon,pch,oex_sh,m40,.1267912685871124
ARG,2000,pon,pch,oex_sh,t1,.1376132369041443
ARG,2000,pon,pch,oex_sh,t10,.136212944984436
ARG,2000,pon,pch,oex_sh,tot,.1255485564470291
ARG,2000,pon,pch,wmbe_sh,b50,.494539737701416
ARG,2000,pon,pch,wmbe_sh,m40,.7693556547164917
ARG,2000,pon,pch,wmbe_sh,t1,.8496256470680237
ARG,2000,pon,pch,wmbe_sh,t10,.8406877517700195
ARG,2000,pon,pch,wmbe_sh,tot,.77070552110672
ARG,2001,pon,pch,edu_sh,b50,.2063373625278473
ARG,2001,pon,pch,edu_sh,m40,.0452814996242523
ARG,2001,pon,pch,edu_sh,t1,.0039525218307972
ARG,2001,pon,pch,edu_sh,t10,.0095343505963683
ARG,2001,pon,pch,edu_sh,tot,.0470105707645416
ARG,2001,pon,pch,hea_sh,b50,.2144411206245422
ARG,2001,pon,pch,hea_sh,m40,.0403058528900146
ARG,2001,pon,pch,hea_sh,t1,.0022509696427733
ARG,2001,pon,pch,hea_sh,t10,.0068083922378719
ARG,2001,pon,pch,hea_sh,tot,.0446470342576504
ARG,2001,pon,pch,mbe_sh,b50,.0382243618369102
ARG,2001,pon,pch,mbe_sh,m40,.0253033936023712
ARG,2001,pon,pch,mbe_sh,t1,.0094338683411479
ARG,2001,pon,pch,mbe_sh,t10,.0067138532176614
ARG,2001,pon,pch,mbe_sh,tot,.0179006326943636
ARG,2001,pon,pch,oex_sh,b50,.0771526843309402
ARG,2001,pon,pch,oex_sh,m40,.1304503679275513
ARG,2001,pon,pch,oex_sh,t1,.1417752504348755
ARG,2001,pon,pch,oex_sh,t10,.1403287649154663
ARG,2001,pon,pch,oex_sh,tot,.1289421617984772
ARG,2001,pon,pch,wmbe_sh,b50,.4638443887233734
ARG,2001,pon,pch,wmbe_sh,m40,.7586590647697449
ARG,2001,pon,pch,wmbe_sh,t1,.8425872921943665
ARG,2001,pon,pch,wmbe_sh,t10,.8366145491600037
ARG,2001,pon,pch,wmbe_sh,tot,.7614995837211609
ARG,2002,pon,pch,edu_sh,b50,.1873340755701065
ARG,2002,pon,pch,edu_sh,m40,.0408144444227219
ARG,2002,pon,pch,edu_sh,t1,.0028811451047659
ARG,2002,pon,pch,edu_sh,t10,.0081161018460989
ARG,2002,pon,pch,edu_sh,tot,.0406095795333385
ARG,2002,pon,pch,hea_sh,b50,.2056549191474915
ARG,2002,pon,pch,hea_sh,m40,.0382871925830841
ARG,2002,pon,pch,hea_sh,t1,.0020348820835352
ARG,2002,pon,pch,hea_sh,t10,.0061215106397867
ARG,2002,pon,pch,hea_sh,tot,.0406641736626625
ARG,2002,pon,pch,mbe_sh,b50,.0534444861114025
ARG,2002,pon,pch,mbe_sh,m40,.024903604760766
ARG,2002,pon,pch,mbe_sh,t1,.0013512012083083
ARG,2002,pon,pch,mbe_sh,t10,.0079580182209611
ARG,2002,pon,pch,mbe_sh,tot,.0195381380617619
ARG,2002,pon,pch,oex_sh,b50,.0751825124025345
ARG,2002,pon,pch,oex_sh,m40,.1215101778507233
ARG,2002,pon,pch,oex_sh,t1,.1312987953424454
ARG,2002,pon,pch,oex_sh,t10,.1300688236951828
ARG,2002,pon,pch,oex_sh,tot,.120678573846817
ARG,2002,pon,pch,wmbe_sh,b50,.4783836901187897
ARG,2002,pon,pch,wmbe_sh,m40,.7744845747947693
ARG,2002,pon,pch,wmbe_sh,t1,.8624340891838074
ARG,2002,pon,pch,wmbe_sh,t10,.8477354645729065
ARG,2002,pon,pch,wmbe_sh,tot,.7785094380378723
ARG,2003,pon,pch,edu_sh,b50,.1505066007375717
ARG,2003,pon,pch,edu_sh,m40,.036065585911274
ARG,2003,pon,pch,edu_sh,t1,.0027599458117038
ARG,2003,pon,pch,edu_sh,t10,.0073400600813329
ARG,2003,pon,pch,edu_sh,tot,.0364599525928497
ARG,2003,pon,pch,hea_sh,b50,.1756345182657242
ARG,2003,pon,pch,hea_sh,m40,.0361178107559681
ARG,2003,pon,pch,hea_sh,t1,.0020128285977989
ARG,2003,pon,pch,hea_sh,t10,.0058796522207558
ARG,2003,pon,pch,hea_sh,tot,.0389047414064407
ARG,2003,pon,pch,mbe_sh,b50,.0374493822455406
ARG,2003,pon,pch,mbe_sh,m40,.0169756188988686
ARG,2003,pon,pch,mbe_sh,t1,.0000790940175648
ARG,2003,pon,pch,mbe_sh,t10,.0037389458157122
ARG,2003,pon,pch,mbe_sh,tot,.0131406793370843
ARG,2003,pon,pch,oex_sh,b50,.0977123156189919
ARG,2003,pon,pch,oex_sh,m40,.1385177671909332
ARG,2003,pon,pch,oex_sh,t1,.1485817730426788
ARG,2003,pon,pch,oex_sh,t10,.1473207026720047
ARG,2003,pon,pch,oex_sh,tot,.1376828551292419
ARG,2003,pon,pch,wmbe_sh,b50,.5386972427368164
ARG,2003,pon,pch,wmbe_sh,m40,.7723233103752136
ARG,2003,pon,pch,wmbe_sh,t1,.8465663194656372
ARG,2003,pon,pch,wmbe_sh,t10,.8357205986976624
ARG,2003,pon,pch,wmbe_sh,tot,.7738117575645447
ARG,2004,pon,pch,edu_sh,b50,.1506664454936981
ARG,2004,pon,pch,edu_sh,m40,.0361628197133541
ARG,2004,pon,pch,edu_sh,t1,.0024809907190502
ARG,2004,pon,pch,edu_sh,t10,.0075720199383795
ARG,2004,pon,pch,edu_sh,tot,.0371283032000065
ARG,2004,pon,pch,hea_sh,b50,.1772115528583527
ARG,2004,pon,pch,hea_sh,m40,.0363284572958946
ARG,2004,pon,pch,hea_sh,t1,.001728838076815
ARG,2004,pon,pch,hea_sh,t10,.0060945739969611
ARG,2004,pon,pch,hea_sh,tot,.0398584306240082
ARG,2004,pon,pch,mbe_sh,b50,.0429304055869579
ARG,2004,pon,pch,mbe_sh,m40,.0213681478053331
ARG,2004,pon,pch,mbe_sh,t1,.0054372157901525
ARG,2004,pon,pch,mbe_sh,t10,.0079461606219411
ARG,2004,pon,pch,mbe_sh,tot,.0177419651299715
ARG,2004,pon,pch,oex_sh,b50,.1121325790882111
ARG,2004,pon,pch,oex_sh,m40,.1598640531301498
ARG,2004,pon,pch,oex_sh,t1,.1716329604387283
ARG,2004,pon,pch,oex_sh,t10,.1700030118227005
ARG,2004,pon,pch,oex_sh,tot,.1586186587810516
ARG,2004,pon,pch,wmbe_sh,b50,.5170586705207825
ARG,2004,pon,pch,wmbe_sh,m40,.746276319026947
ARG,2004,pon,pch,wmbe_sh,t1,.8187200427055359
ARG,2004,pon,pch,wmbe_sh,t10,.8083842992782593
ARG,2004,pon,pch,wmbe_sh,tot,.7466525435447693
ARG,2005,pon,pch,edu_sh,b50,.1476284116506577
ARG,2005,pon,pch,edu_sh,m40,.03714619576931
ARG,2005,pon,pch,edu_sh,t1,.0031755487434566
ARG,2005,pon,pch,edu_sh,t10,.0087706679478288
ARG,2005,pon,pch,edu_sh,tot,.0399040766060352
ARG,2005,pon,pch,hea_sh,b50,.1642343550920486
ARG,2005,pon,pch,hea_sh,m40,.0351245328783989
ARG,2005,pon,pch,hea_sh,t1,.0021464852616191
ARG,2005,pon,pch,hea_sh,t10,.0066917059011757
ARG,2005,pon,pch,hea_sh,tot,.0404490791261196
ARG,2005,pon,pch,mbe_sh,b50,.0428669452667236
ARG,2005,pon,pch,mbe_sh,m40,.0161608569324017
ARG,2005,pon,pch,mbe_sh,t1,.0027056511025876
ARG,2005,pon,pch,mbe_sh,t10,.0045233108103275
ARG,2005,pon,pch,mbe_sh,tot,.0147028611972928
ARG,2005,pon,pch,oex_sh,b50,.115586094558239
ARG,2005,pon,pch,oex_sh,m40,.1589576303958893
ARG,2005,pon,pch,oex_sh,t1,.1704287678003311
ARG,2005,pon,pch,oex_sh,t10,.1686928570270538
ARG,2005,pon,pch,oex_sh,tot,.1572507172822952
ARG,2005,pon,pch,wmbe_sh,b50,.5296837687492371
ARG,2005,pon,pch,wmbe_sh,m40,.7526108026504517
ARG,2005,pon,pch,wmbe_sh,t1,.8215435743331909
ARG,2005,pon,pch,wmbe_sh,t10,.8113214373588562
ARG,2005,pon,pch,wmbe_sh,tot,.7476931810379028
ARG,2006,pon,pch,edu_sh,b50,.1472901701927185
ARG,2006,pon,pch,edu_sh,m40,.0372758023440838
ARG,2006,pon,pch,edu_sh,t1,.0045011942274868
ARG,2006,pon,pch,edu_sh,t10,.0094031319022179
ARG,2006,pon,pch,edu_sh,tot,.0414667353034019
ARG,2006,pon,pch,hea_sh,b50,.1574578583240509
ARG,2006,pon,pch,hea_sh,m40,.0339265465736389
ARG,2006,pon,pch,hea_sh,t1,.0024104728363454
ARG,2006,pon,pch,hea_sh,t10,.0067760008387268
ARG,2006,pon,pch,hea_sh,tot,.0403852537274361
ARG,2006,pon,pch,mbe_sh,b50,.0418006293475628
ARG,2006,pon,pch,mbe_sh,m40,.0164925344288349
ARG,2006,pon,pch,mbe_sh,t1,.0200945883989334
ARG,2006,pon,pch,mbe_sh,t10,.006458927411586
ARG,2006,pon,pch,mbe_sh,tot,.0159257128834724
ARG,2006,pon,pch,oex_sh,b50,.1288572996854782
ARG,2006,pon,pch,oex_sh,m40,.1757090091705322
ARG,2006,pon,pch,oex_sh,t1,.1878726780414581
ARG,2006,pon,pch,oex_sh,t10,.1861189156770706
ARG,2006,pon,pch,oex_sh,tot,.1733069717884064
ARG,2006,pon,pch,wmbe_sh,b50,.5245947241783142
ARG,2006,pon,pch,wmbe_sh,m40,.7365961074829102
ARG,2006,pon,pch,wmbe_sh,t1,.7851210236549377
ARG,2006,pon,pch,wmbe_sh,t10,.7912430167198181
ARG,2006,pon,pch,wmbe_sh,tot,.7289153933525085
ARG,2007,pon,pch,edu_sh,b50,.1589883118867874
ARG,2007,pon,pch,edu_sh,m40,.0421172864735126
ARG,2007,pon,pch,edu_sh,t1,.0028166004922241
ARG,2007,pon,pch,edu_sh,t10,.0093938484787941
ARG,2007,pon,pch,edu_sh,tot,.0438027530908585
ARG,2007,pon,pch,hea_sh,b50,.1663114577531815
ARG,2007,pon,pch,hea_sh,m40,.0375454872846603
ARG,2007,pon,pch,hea_sh,t1,.0016193526098505
ARG,2007,pon,pch,hea_sh,t10,.0066274898126721
ARG,2007,pon,pch,hea_sh,tot,.0417386218905449
ARG,2007,pon,pch,mbe_sh,b50,.0361883156001568
ARG,2007,pon,pch,mbe_sh,m40,.0133918803185225
ARG,2007,pon,pch,mbe_sh,t1,.0049447994679213
ARG,2007,pon,pch,mbe_sh,t10,.0041765766218305
ARG,2007,pon,pch,mbe_sh,tot,.0124323172494769
ARG,2007,pon,pch,oex_sh,b50,.1382583975791931
ARG,2007,pon,pch,oex_sh,m40,.1925292909145355
ARG,2007,pon,pch,oex_sh,t1,.2082667350769043
ARG,2007,pon,pch,oex_sh,t10,.2058428823947906
ARG,2007,pon,pch,oex_sh,tot,.1908905655145645
ARG,2007,pon,pch,wmbe_sh,b50,.500253438949585
ARG,2007,pon,pch,wmbe_sh,m40,.7144161462783813
ARG,2007,pon,pch,wmbe_sh,t1,.7823525071144104
ARG,2007,pon,pch,wmbe_sh,t10,.7739591598510742
ARG,2007,pon,pch,wmbe_sh,tot,.7111357450485229
ARG,2008,pon,pch,edu_sh,b50,.1525412797927856
ARG,2008,pon,pch,edu_sh,m40,.0414689034223557
ARG,2008,pon,pch,edu_sh,t1,.0042939740233123
ARG,2008,pon,pch,edu_sh,t10,.0117409778758883
ARG,2008,pon,pch,edu_sh,tot,.0475815497338772
